Compound	CAS	Company	CatalogNumber	FW	Synonyms	Hans80Anti	Hans80metals	FEBA_carbon	FEBA_nitrogen	FEBA_stress	All_star
Antimycin A	1397-94-0	Sigma	a8674-100mg	548.63		yes	no				
AQDS	853-68-9			412.3	anthraquinone-2,6-disulfonate		no				
Atrazin	1924-24-9	fluka	45330	215.68		yes	no				
Azlocillin sodium salt	37091-65-9	Sigma	A7926-1G	483.47		yes	no				
Aztreonam	78110-38-0	Sigma	MP: 150415-1G	435.44		yes	no				
Bacitracin	1405-87-4	Sigma	B0125-50KU	1422.69		yes	no			yes	
Bacto Peptone					Peptone		no				
Baicalein	491-67-8	aldrich	465119-100mg	270.24		yes	no				
Barium chloride dihydrate	10326-27-9						yes				
Benzalkonium Chloride	63449-41-2	Sigma	B6295				no			yes	
Benzethonium chloride	121-54-0	Sigma	B8879-100G	448.08		yes	no			yes	
benzoic acid	65-85-0	Sigma	242381	122.12			no			yes	
Beta-Lactose	5965-66-2	Sigma	L3750	342.3			no	yes			
Bile salts		Sigma	B8756				no				
biotin	58-85-5	Sigma	B4501	244.31	D-Biotin, Bios II, Biotin, Coenzyme R, Vitamin B7, Vitamin H		no				
bismuth(III) chloride	7787-60-2	Sigma	224839	315.34			yes				
Bleomycin sulfate	9041-93-4	Sigma	15361-1MG				no				
Boric Acid	10043-35-3		0084-01 (JT*)	61.83	H3BO3		no				
Butanol	71-36-3	Sigma	B7906	74.12	Butan-1-ol; n-Butanol		no				
Cadmium chloride hemipentahydrate	7790-78-5	Sigma	239208	228.36			yes				
caffeic acid	331-39-5	Sigma	C0625	180.16			no				
Caffeine	58-08-2	Sigma	c-0750	194.2		yes	no				
Calcium chloride	10043-52-4	Sigma	C1016	110.98	CaCl2		no				
Calcium chloride dihydrate	10035-04-8	Sigma	C5080	147.01	Calcium Chloride Dihydrate		yes				
Calcium nitrate tetrahydrate	13477-34-4	Sigma	C1396	236.15			no				
calcium pantothenate	137-08-6	Sigma	C8731	238.27	(R)-(+)-N-(2,4-Dihydroxy-3,3-dimethyl-1-oxobutyl)-_-alanine hemicalcium salt, Calcium D-pantothenate, Vitamin B5, pantothenic acid, Pantothenic acid dicalcium salt, Calcium D,L-pantothenate		no				
CAPS	1135-40-6	Sigma	C2632	221.32	3-(Cyclohexylamino)-1-propanesulfonic acid		no				
capsaicin	404-86-4			305.42			no				
Carbenicillin disodium salt	4800-94-6	Sigma	C1389-5G	422.36	Carbenicillin	yes	no			yes	
Carnitine Hydrochloride	461-05-2	Sigma	C9500	197.66			no	yes	yes		
casamino acids	65072-00-6	BD	223120		CAS amino acids		no	yes	yes		
Casein	9000-71-9	Sigma	C7078				no				
CCCP	555-60-2	Sigma	C2759-100MG	204.62			no				
Cecropin B	80451-05-4	Sigma	C1796-.1MG	3835.65			no				
Cefazolin sodium salt	27164-46-1	Sigma	C5020-100MG	476.49			no				
Cefoxitin sodium salt	33564-30-6	Sigma	C4786-250MG	449.43		yes	no				
Cefsulodin sodium salt hydrate	52152-93-9	Sigma	C8145-100MG	554.53			no				
Ceftazidime hydrate	120618-65-7	Sigma	C3809	546.58			no			yes	
Ceftriaxone disodium salt hemi(heptahydrate)	104376-79-6	Sigma	C5793-250MG	661.6		yes	no				
Cephalothin sodium salt	58-71-9	Sigma	C4520-100MG	418.42		yes	no			yes	
Cerium(III) chloride	7790-86-5	Sigma	202983	246.48	cerium chloride		yes				
Cerulenin	17397-89-6	Sigma	C2389-5MG	223.27			no				
Cesium chloride	7647-17-8	Sigma	289329	168.36	cesium chloride		yes				
Chloramphenicol	56-75-7	Sigma	C0378	323.13		yes	no			yes	
Chlorhexidine diacetate salt hydrate	56-95-1	Sigma	C6143	625.55		yes	no				
Chlorpromazine hydrochloride	69-09-0	Sigma	C8138-5G	355.33		yes	no				
Cholin acetate	14586-35-7	Sigma	670189	163.21			no			yes	
Choline chloride	67-48-1			139.62			no			yes	
Choline Lysine							no			yes	
Chromium(III) Chloride Hexahydrate	10025-73-7	Sigma	450790		chromium chloride		yes				
Ciprofloxacin Hydrochloride	86393-32-0	MP	199020	367.84		yes	no				
Cisplatin	15663-27-1	Sigma	P4394	300.05		yes	no			yes	
Citric Acid	77-92-9	Sigma	251275	192.12			no	yes			
Clarithromycin	81103-11-9	Sigma	C9742-100MG	747.95			no				
Cloxacillin sodium salt monohydrate	7081-44-9	Sigma	C9393-1G	475.88		yes	no				
cobalt (III)-EDTA							no				
Cobalt chloride hexahydrate	7791-13-1	Sigma	255599	237.93	Cobaltous chloride hexahydrate, CoCl2, CoCl2 6H2O, Cobalt Chloride		yes			yes	
Cobalt(II) nitrate hexahydrate	10026-22-9			291.03	Co(NO3)2 6H2O						
Colistin sulfate salt	1264-72-8	Sigma	C4461								
coniferyl alcohol	458-35-5	Sigma	223735	180.2							
coniferyl aldehyde	458-36-6	Sigma	382051	178.18							
copper (II) chloride dihydrate	10125-13-0	Sigma	307483	170.48	CuCl2		yes			yes	
Copper (II) sulfate pentahydrate	7758-99-8	Sigma	C8027	249.69	Blue Vitriol, Cupric sulfate pentahydrate, Sulfuric acid, copper(II) salt (1:1) pentahydrate, CuSO4 5H2O, Cupric Sulfate						
Crystal Violet	548-62-9	Sigma	61135-100g	407.979							
Cyanocobalamin	68-19-9	Sigma	C3607	1355.37	Vitamin B12, _-(5,6-Dimethylbenzimidazolyl)cyanocobamide, CN-Cbl, Cyanocob(III)alamin						
Cycloheximide	66-81-9	Sigma	c7698-1g	281.35		yes					
Cytidine	65-46-3	Sigma	c4654	243.22				yes	yes		
Cytidine 5'-Monophosphate	63-37-6	Sigma	C1131	323.2							
Cytosine	71-30-7	Sigma	C3506	111.1				yes	yes		
D-Alanine	338-69-2	Sigma	A7377	89.09				yes	yes		
D-Arabinose	10323-20-3	Sigma	A3131	150.13				yes			
D-Cellobiose	528-50-7	Sigma	C7252	342.3				yes			
D-Cycloserine	68-41-7	Sigma	C6880-1G	102.09		yes				yes	
D-Fructose	57-48-7	Sigma	F2543	180.16				yes			
D-Galactose	59-23-4	Sigma	G0750	180.16				yes			
D-Galacturonic Acid monohydrate	91510-62-2	Sigma	48280	212.15				yes			
D-Gluconic Acid sodium salt	527-07-1	Sigma	G9005	218.14				yes			
D-Glucosamine Hydrochloride	66-84-2	Sigma	G4875	215.63				yes	yes		
D-Glucose	50-99-7	Sigma	G7528	180.16	glucose			yes			
D-Glucose-6-Phosphate sodium salt	54010-71-8	Sigma	G7879	282.12				yes			
D-Glucuronic Acid	6556-12-3	Sigma	G5269	194.14				yes			
D-Maltose monohydrate	6363-53-7	Sigma	M5885	360.31	Maltose monohydrate			yes			
D-Mannitol	69-65-8	Sigma	M4125	182.17				yes			
D-Mannose	3458-28-4	Sigma	M6020	180.16				yes			
D-Raffinose pentahydrate	17629-30-0	acros	19567-1000	594.52				yes			
D-Ribose	50-69-1	Sigma	R1757	150.13				yes			
D-Salicin	138-52-3	Sigma	S0625	286.28				yes			
D-Serine	312-84-5	Sigma	S4250	105.09				yes	yes		
D-Sorbitol	50-70-4	Sigma	S1876	182.17				yes			
D-Tagatose	87-81-0	Sigma	T2751	180.16				yes			
D-Trehalose dihydrate	6138-23-4	Sigma	T9531	378.33				yes			
D-Xylose	58-86-6	Sigma	X3877	150.13				yes			
D,L-Malic Acid	6915-15-7	Sigma	M0875	134.09				yes			
DEANONOate	372965-00-9	Cayman	82100	206.3							
decyl alcohol	112-30-1			158.28							
Deoxyribonucleic acid from herring sperm		Sigma	D3159								
deuterated glucose	201417-01-8	Sigma	552151	193.15							
deuterated water	7789-20-0	Sigma	151882	20.03							
Dibenzothiophene	132-65-0	Sigma		184.26		yes					
Dibucaine	85-79-0	Sigma	D0513-5G	343.46		yes					
Dicloxacillin sodium salt monohydrate	13412-64-1	Sigma	D9016	510.32		yes					
diethyl ether	60-29-7			74.12							
dimethyl sulfone	67-71-0						yes				
Dimethyl Sulfoxide	67-68-5	Sigma	34869	78.13	DMSO					yes	
Dimetridazole	551-92-8	Sigma	d4025-110g	141.13	1,2-dimethyl-5-nitroimidazole	yes					
Disodium phosphate	7558-79-4			141.96	Na2HPO4						
dodecane	112-40-3			170.34	Dodecane						
Dodecanol	112-53-8			186.34							
Doxorubicin hydrochloride	25316-40-9	Sigma	D1515-10MG	579.98							
Doxycycline hyclate	24390-14-5	Sigma	D9891-1G	512.94		yes				yes	
Econazole nitrate salt	24169-02-6	Sigma	E4632	423.42		yes					
EDTA	60-00-4	Sigma	BP121	292.24							
EDTA (disodium salt)	6381-92-6	Sigma	E6635	336.206							
Erythromycin	114-07-8	Sigma	E5389	733.93		yes					
Ethanol	64-17-5	Sigma	493546	46.07				yes			
ethyl acetate	141-78-6			88.11							
Ethylenediamine-N,N'-disuccinic acid	20846-91-7			292.24	EDDS		yes				
Eugenol	97-53-0	Sigma	E51791	164.2							
Europium(III) chloride	10025-76-0			258.323	europium chloride		yes				
FCCP	370-86-5	Sigma	C2920-10MG	254.17							
Ferric ammonium citrate	1185-57-5	Sigma	F5879	261.98							
Ferric chloride	10025-77-1	Sigma	236489	270.3	Iron (III) chloride hexahydrate		yes				
Ferric citrate	3522-50-7	Sigma	F3388	244.94							
Ferulic Acid	537-98-4	Sigma	128708	194.18							
Flavone	525-82-6	acros	119160010	222.24		yes					
Folic Acid	59-30-3	Sigma	F7876	441.4							
Formamide	75-12-7	Sigma	F9037-100ML	45.04							
Formic Acid	64-18-6	Sigma	251364	46.03							
Furaltadone hydrochloride	3759-92-1	Sigma	F9255-25G	360.75		yes					
Furfuryl Alcohol	98-00-0	Sigma	185930	98.1						yes	
Fusidic acid sodium salt	751-94-0	Sigma	F0881-1G	538.69	Fusidic acid					yes	
G418 disulfate salt solution	108321-42-2	Sigma	G8168	692.71	G418					yes	
Gallic Acid	149-91-7	Sigma	G7384	170.12			yes				
Gelatin	9000-70-8	Sigma	G1890					yes	yes		
Geneticin G418	49863-47-0			496.55		yes					
Gentamicin sulfate salt	1405-41-0	Sigma	G1264							yes	
Gjerstad humics							yes				
Glucuronamide	3789-97-7	MP	157202	193.2				yes	yes		
Gly-DL-Asp	79731-35-4	Sigma	G2754	190.2				yes	yes		
Gly-Glu	7412-78-4	Sigma	G0877	204.18				yes	yes		
Glycerol	56-81-5	Fisher	BP229-1	92.09				yes			
Glycerol phosphate disodium salt hydrate	55073-41-1	Sigma	G6501	216.04							
Glycine	56-40-6	Sigma	G7126	75.07	L-glycine			yes	yes		
glycolaldehyde	23147-58-2	Sigma	G6805	120.1							
Glycolic Acid	79-14-1	Sigma	124737	76.05				yes			
Guaiacol	90-05-1	Sigma	G5502	124.14							
Guanine	73-40-5			151.13							
Guanosine	118-00-3	Sigma	G6752	283.24							
Hans 1000x minerals							yes				
Hans 100x vitamins							yes				
heptanol	111-70-6			116.2							
hexadecane	544-76-3			226.45							
hexanol	111-27-3			102.18							
homovanillic acid	306-08-1	Sigma	H1252	182.17							
Hydrochloric Acid	7647-01-0				Hcl		yes				
Hydrogen peroxide	7722-84-1	Sigma	H3410	34.01							
Hydroquinone	123-31-9	Sigma	H9003	110.11							
Hydroxylamine hydrochloride	5470-11-1	Sigma	159417	69.49	hydroxylamine hcl		yes				
Hygromycin B	31282-04-9	Sigma	H7772	527.52		yes					
Hypotaurine	300-84-5	Sigma	H1384	109.15							
Hypoxanthine	68-94-0	Sigma	H9377	136.11							
Inosine	58-63-9	Sigma	I4125	268.23				yes	yes		
Iodonitrotetrazolium chloride	146-68-9	Sigma	58030-1G-F	505.7							
Irgasan	3380-34-5	Sigma	72779-5G-F	289.54		yes					
Iron (II) chloride tetrahydrate	13478-10-9	Sigma	44936	198.81	FeCl2, FeCl2 7H2O						
Iron (II) sulfate heptahydrate	7782-63-0	Sigma	F2387	278.01	Ferrous sulfate heptahydrate, FeSO4 7H2O, Iron sulfate						
Isobutyl alcohol	78-83-1	Sigma	W217905	74.12	Isobutanol; 2-Methylpropan-1-ol						
Isoniazid	54-85-3	Sigma	I3377-5G	137.14		yes					
Isopropyl alcohol	67-63-0	Sigma	I9516	60.1							
Itaconic Acid	97-65-4	Sigma	I29204	130.1				yes			
Kanamycin sulfate	25839-94-0	Sigma	K4000-50G	582.58						yes	
L-(+)-Ergothioneine	497-30-3	Sigma	E7521	229.3							
L-Alanine	56-41-7	Sigma	A7627	89.09				yes	yes		
L-Arabinose	5328-37-0	Sigma	A3256	150.13				yes			
L-Arginine	74-79-3	Sigma	A5006	174.2				yes	yes		
L-Asparagine	70-47-3	Sigma	A4159	132.12				yes	yes		
L-Aspartic Acid	56-84-8	Sigma	A8949	133.1				yes	yes		
L-Aspartic acid potassium salt	1115-63-5			171.19							
L-Citrulline	372-75-8	Sigma	C7629	175.19				yes	yes		
L-Cysteine hydrochloride monohydrate	7048-04-6	Sigma	C7880	175.63	L-Cysteine HCl			yes	yes		
L-Fucose	2438-80-4	Sigma	F2252	164.16				yes			
L-Glutamic acid monopotassium salt monohydrate	6382-01-0	fluka	49601	203.24	L-Glutamic acid potassium salt monohydrate, L-Glutamic acid potassium salt			yes	yes		
L-Glutamine	56-85-9	Sigma	G3126	146.14				yes	yes		
L-glutathione reduced	70-18-8	Sigma	G4251	307.32							
L-Histidine	71-00-1	Sigma	H8000	155.16	L-Histidine HCl H2O			yes	yes		
L-Isoleucine	73-32-5	Sigma	I2752	131.17				yes	yes		
L-Leucine	61-90-5	Sigma	L8000	131.17				yes	yes		
L-Lysine	56-87-1	Sigma	L5501	146.19				yes	yes	yes	
L-Malic acid disodium salt monohydrate	207511-06-6	Sigma	M9138	196.06				yes			
L-Methionine	63-68-3	Sigma	M9625	149.21				yes	yes		
L-Phenylalanine	63-91-2	Sigma	P2126	165.19				yes	yes		
L-Proline	147-85-3	Sigma	P0380	115.13				yes	yes		
L-Rhamnose monohydrate	10030-85-0	acros	174081000	182.17				yes			
L-Serine	56-45-1	Sigma	S4311	105.09				yes	yes		
L-Sorbose	87-79-6	Sigma	85541	180.16				yes			
L-Threonine	72-19-5	Sigma	T8625	119.12				yes	yes		
L-Tryptophan	73-22-3	Sigma	T0254	204.23				yes	yes		
L-tyrosine	60-18-4			181.19							
L-tyrosine disodium salt	69847-45-6	Sigma	T1145	225.15				yes	yes		
L-Valine	75-18-4	Sigma	V0500	117.15				yes	yes		
lead (II) chloride	7758-95-4	Sigma	268690	278.11							
Lead (II) nitrate	10099-74-8	Sigma	11520	331.21							
Levofloxacin	100986-85-4	Sigma	28266-1G-F	361.37		yes					
Levulinic Acid	123-76-2	Sigma	L2009	116.12							
limonene	138-86-3			136.24	D-Limonene						
Lincomycin hydrochloride	859-18-7	Sigma	L6004	443		yes					
Lipoic acid	1200-22-2	Sigma	O4471	206.33	Thioctic acid						
Lithium chloride	7447-41-8	Sigma	L4408	42.39			yes				
Lomefloxacin hydrochloride	98079-52-8	Sigma	L2906	387.81						yes	
m-Inositol	87-89-8	Sigma	I5125	180.16				yes			
Magnesium chloride hexahydrate	7791-18-6	Sigma	M2670	203.3	MgCl2, magnesium chloride		yes				
Magnesium sulfate	7487-88-9	Sigma	M7506	120.37	MgSO4						
Magnesium Sulfate Heptahydrate	10034-99-8	Sigma	M1880	246.47	Epsom salts, MgSO4 7H2O						
Manganese (II) chloride tetrahydrate	13446-34-9	Sigma	M3634	197.91	MnCl2, manganese chloride, MnCl2 4H2O		yes				
Manganese (II) sulfate monohydrate	10034-96-5	Sigma	M7634	169.02	MnSO4 H2O						
manganese (IV) oxide	1313-13-9	Sigma	529664	86.94							
Mecillinam	32887-01-7	Sigma	33447-100MG	325.43		yes					
Menadione sodium bisulfate	130-37-0	Sigma	M5750	276.24							
MES sodium salt	71119-23-8	Sigma	M3885	217.22							
Methotrexate	133073-73-1	Sigma	M9929-25MG	454.44							
Methyl methanesulfonate	66-27-3	Sigma	129925-5G	110.13							
methylene chloride	75-09-2			84.93							
methylglyoxal	79-98-8	Sigma	M0252	72.06						yes	
Metronidazole	443-48-1			171.15		yes					
Minocycline hydrochloride	13614-98-7	Sigma	M9511-25MG	493.94							
Mitomycin C	50-07-7	Sigma	M0440-5MG	334.33							
MreB Perturbing Compound A22	22816-60-0	Sigma	SML0471	271.6						yes	
N-Acetyl-D-Glucosamine	7512-17-6	Sigma	A8625	221.21				yes	yes		
Nafcillin sodium salt monohydrate	7177-50-6	Sigma	N3269-5G	454.47		yes					
Nalidixic acid sodium salt	3374-05-8	Sigma	N4382	232.24		yes				yes	
Neomycin trisulfate salt hydrate	1405-10-3	Sigma	N1142	908.88						yes	
Nickel (II) chloride hexahydrate	7791-20-0	Sigma	N6136	237.69	NiCl2 6H2O		yes			yes	
Nickel (II) sulfate hexahydrate	7786-81-4			262.85	NiSO4						
Nicotinamide	98-92-0	Sigma	N3376	122.12							
Nicotinic Acid	59-67-6	Sigma	N4126	123.11							
Nigericin sodium salt	28643-80-3	Sigma	N7143-5MG	746.94							
Nitrilotriacetic acid	139-13-9	Sigma	N9877	191.14	N,N-Bis(carboxymethyl)glycine, NTA, Tris(carboxymethyl)amine		yes				
Nitrilotriacetic acid disodium salt	15467-20-6			235.1							
Nitrofurantoin	67-20-9	Sigma	N7878-10G	238.16		yes					
Norfloxacin	70458-96-7	Sigma	N9890	319.33		yes					
Novobiocin sodium salt	1476-53-5	Sigma	N1628	634.61		yes					
O-Phosphoryl-Ethanolamine	1071-23-4	Sigma	P0503	141.06							
octane	111-65-9			114.23							
octanol	111-87-5			130.23							
Oxacillin sodium salt	1173-88-2	Sigma	28221-1G	423.42		yes					
Oxytetracycline hydrochloride	2058-46-0	Sigma	O5875	496.89		yes					
p-Coumaric acid	501-98-4	Sigma	C9008	164.16							
Palladium(II) chloride	7647-10-1	Sigma	205885	177.33	Palladium chloride		yes				
Parabanic Acid	120-89-8	Sigma	P209	114.06				yes	yes		
Paraquat dichloride	1910-42-5	Sigma	36541-100MG	257.16						yes	
Paromomycin sulfate salt	1263-89-4	Sigma	P9297-1G	713.71							
Penicillin g	69-57-8	Sigma	pen-na	356.4		yes					
Pentachlorophenol	87-86-5	Sigma	P2604-5G	266.34							
Pentasodium tripolyphosphate hexahydrate	15091-98-2	Sigma	T5633	475.96							
Phenazine ethosulfate	10510-77-7	Sigma	P4544-1G	334.39		yes					
Phenazine methosulfate	299-11-6	Sigma	P9625-500MG	306.34		yes					
Phleomycin	11006-33-0	Sigma	P9564-5MG								
Phosphomycin disodium salt	26016-99-9	Sigma	P5396-1G	182.02						yes	
pinene	80-56-8			136.24	alpha-Pinene						
Piperacillin sodium salt	59703-84-3	Sigma	P8396	539.54		yes					
PIPES sesquisodium salt	100037-69-2	Fisher	BP304-500	335.34							
Polymyxin B sulfate	1405-20-5	Sigma	P0972-1MU	1385.61						yes	
Potassium 4-aminobenzoate	138-84-1			175.23							
Potassium acetate	127-08-2	Sigma	P1190	98.14				yes			
Potassium aluminum chloride	74978-20-4			490.335	AlKCl2						
Potassium bromide	7758-02-3	Sigma	P0838	119.002	KBr						
Potassium Chloride	7447-40-7	Sigma	P3911	74.55	KCl		yes				
Potassium chromate	7789-00-6	Sigma	216615	194.19			yes				
Potassium dichromate	7778-50-9			294.185							
Potassium hydroxide	1310-58-3			56.11	KOH						
Potassium nitrate	7757-79-1			101.1032	KNO3						
Potassium oxalate monohydrate	6487-48-5	Sigma	O0501	184.23				yes			
Potassium phosphate dibasic	7758-11-4	Sigma	P3786	174.18	K2HPO4, dibasic anhydrous sodium phosphate						
Potassium phosphate monobasic	7778-77-0			136.09	Monopotassium phosphate, Potassium dihydrogen phosphate solution, KH2PO4						
Potassium sulfate	7778-80-5			174.259	K2SO4						
potassium tellurate	7790-58-1	Sigma	P0677	253.79			yes				
Potassium tellurite hydrate	123333-66-4	Sigma	P0677	253.79			yes				
Procaine hydrochloride	51-05-8	Sigma	P9879-50G	272.77		yes					
Propidium iodide	25535-16-4	Sigma	P4170-10MG	668.39							
Protocatechualdehyde	139-85-5	Sigma	D108405	138.12							
Protocatechuic Acid	99-50-3	Sigma	37580	154.12	3,4-dihydroxybenzoic acid						
Puromycin dihydrochloride	58-58-2	Sigma	P7255-25MG	544.43							
Putrescine Dihydrochloride	333-93-7	Sigma	P7505	161.07	Putrescine			yes	yes		
Pyocyanin	85-66-5	Sigma	P0046-5MG	210.23							
Pyridoxine HCl	58-56-0	Sigma	P9755	205.64	Pyridoxine-HCl, pyridoxine hydrochloride, pyridoxine HCl						
Pyrocatechol	120-80-9	Sigma	C9510	110.11							
Radicicol	12772-57-5	Sigma	R2146	364.78							
Ramoplanin	76168-82-6	Sigma	R1781	2554.07		yes					
Rhamnolipid	4348-76-9			650.8							
Riboflavin	83-88-5	Sigma	R4500	376.36							
Rifampicin	13292-46-1	Sigma	R3501-250MG	822.94		yes				yes	
Rotenone	83-79-4	MP	150154	391.41		yes					
rubidium chloride	7791-11-9	Sigma	R2252	120.92			yes				
Sea salts		Sigma	S9883-500G		sea salts (Sigma)						
silver sulfate	10294-26-5						yes				
sinapic acid	530-59-6	Sigma	D7927	224.21							
sinapinaldehyde	4206-58-0	Sigma	382159	208.21							
Sisomicin sulfate salt	53179-09-2	Sigma	S7796-250MG	692.72						yes	
Sodium 2-bromoethanesulfonate	4263-52-9	Sigma	137502	211.01	sodium bromoethanesulfonate		yes				
Sodium 2-mercaptoethanesulfonate	19767-45-4	Sigma	M1511	164.18			yes				
Sodium acetate	127-09-3	Sigma	S28889-250G	82.03	Acetic acid sodium salt					yes	
Sodium antimonate	15432-85-6			192.75			yes				
Sodium arsenate dibasic heptahydrate	10048-95-0	Sigma	A6756-50G	312.01			yes				
Sodium azide	26628-22-8	Sigma	S2002	65.01							
Sodium bicarbonate	144-55-8			84.007	NaHCO3		yes				
Sodium bromate	7789-38-0	Sigma	224871	150.892			yes				
sodium bromide	7647-15-6	Sigma	S4547	102.89			yes				
Sodium butyrate	156-54-7	Sigma	B5887	110.09				yes			
Sodium carbonate	497-19-8			105.9888	Na2CO3		yes				
Sodium Chlorate	7775-09-9	Fisher	S268-500	106.44			yes			yes	
Sodium Chloride	7647-14-5	Sigma	S3014	58.44	NaCl		yes			yes	
Sodium Chlorite	7758-19-2	Sigma	244155	90.44			yes			yes	
Sodium cholate hydrate	206986-87-0	Sigma	C9282-25G	430.55			yes				
Sodium cyanide	143-33-9	Sigma	380970	49.01			yes				
Sodium D-Lactate	920-49-0	Sigma	71716	90.08				yes			
Sodium D,L-Lactate	50-21-5	Sigma	L1375	90.08	sodium lactate			yes			
Sodium deoxycholate monohydrate	145224-92-6	Sigma	D5670	432.57	Sodim deoxycholate monohydrate		yes				
Sodium Dodecyl Sulfate	151-21-3	Sigma	L4390	288.38							
Sodium ethyl sulfate	546-74-7	Sigma	CDS000593_	148.11							
sodium fluoride	7681-49-4	Sigma	S7920	41.99			yes			yes	
Sodium Fluorophosphate	7631-97-2	Sigma	344443	143.95	Sodium monofluorophosphate		yes				
